name,sites
3420: Embedded Systems,"[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/3420', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS3420/2021sp/'}]"
3758: Autonomous Mobile Robots,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/3758'}]
4090: Teaching Experience in Computer Science,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4090'}]
4110: Programming Languages and Logics,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS4110/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4110', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS4110/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4110/2021fa/'}]"
4120: Introduction to Compilers,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS4120/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4120', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS4120/2021sp/'}]"
4121: Practicum in Compilers,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS4121/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4121', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS4121/2021sp/'}]"
4152: Advanced Topics in Computer Game Architecture,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS4152/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4152', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS4152/2021sp/'}]"
4160: Formal Verification,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS4160/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4160', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS4160/2020sp/'}]"
4210: Numerical Analysis and Differential Equations,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4210'}]
4220: Numerical Analysis: Linear and Nonlinear Problems,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS4220/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4220'}]"
4300: Language and Information,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS4300/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/4300', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS4300/2021sp/'}]"
4320: Introduction to Database Systems,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS4320/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4320', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS4320/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4320/2021fa/'}]"
4321: Practicum in Database Systems,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS4321/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA20/class/CS/4321', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS4321/2019fa/', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS4321/2020fa/'}]"
4410: Operating Systems,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS4410/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4410', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4410/2021fa/'}]"
4411: Practicum in Operating Systems,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS4411/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4411', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4411/2021fa/'}]"
4414: Systems Programming,"[{'Fall 20': 'http://www.cs.cornell.edu/courses/cs4414/2020fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4414', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4414/2021fa/'}]"
4420: Computer Architecture,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS4420/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4420', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS4420/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4420/2021fa/'}]"
4450: Introduction to Computer Networks,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS4450/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/4450', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS4450/2020sp/', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS4450/2021sp/'}]"
