,book,url,author,category
50,Introduction to Programming Using Java - Eighth Edition,https://open.umn.edu/opentextbooks/textbooks/introduction-to-programming-using-java-seventh-edition,"David J. Eck, Hobart and William Smith Colleges","introduction, java"
51,Introduction to Computer Graphics,https://open.umn.edu/opentextbooks/textbooks/introduction-to-computer-graphics,David J. Eck,graphics
52,Database Design - 2nd Edition,https://open.umn.edu/opentextbooks/textbooks/database-design-2nd-edition,Adrienne Watt (City University),databases
53,A First Course in Electrical and Computer Engineering,https://open.umn.edu/opentextbooks/textbooks/a-first-course-in-electrical-and-computer-engineering,Louis Scharf (Colorado State University),"introduction, misc"
54,Python for Everybody: Exploring Data Using Python 3,https://open.umn.edu/opentextbooks/textbooks/python-for-everybody-exploring-data-using-python-3,Charles Severance (University of Michigan),python
55,"Computer Networking: Principles, Protocols and Practice",https://open.umn.edu/opentextbooks/textbooks/computer-networking-principles-protocols-and-practice,Olivier Bonaventure (Universite catolique de Louvain),networks
56,Signal Computing: Digital Signals in the Software Domain,https://open.umn.edu/opentextbooks/textbooks/signal-computing-digital-signals-in-the-software-domain,"Michael D. Stiber (University of Washington Bothell), Bilin Zhang Stiber (University of Washington Bothell), Eric C. Larson (Southern Methodist University)",misc
57,Introduction to Autonomous Robots,https://open.umn.edu/opentextbooks/textbooks/introduction-to-autonomous-robots,Nikolaus Correll (University of Colorado at Boulder),"robotics, misc"
58,Think DSP: Digital Signal Processing in Python,https://open.umn.edu/opentextbooks/textbooks/think-dsp-digital-signal-processing-in-python,Allen B. Downey (Franklin W. Olin College of Engineering),python
59,Think Java: How To Think Like a Computer Scientist - 2nd Edition,https://open.umn.edu/opentextbooks/textbooks/think-java-how-to-think-like-a-computer-scientist,"Chris Mayfield (James Madison University), Allen Downey (Franklin W. Olin Colleg of Engineering)",java
60,Think Stats: Probability and Statistics for Programmers - 2nd Edition,https://open.umn.edu/opentextbooks/textbooks/think-stats-probability-and-statistics-for-programmers,Allen B. Downey (Franklin W. Olin College of Engineering),"mathematics, statistics"
61,Think Bayes: Bayesian Statistics Made Simple,https://open.umn.edu/opentextbooks/textbooks/think-bayes-bayesian-statistics-made-simple,Allen B. Downey (Franklin W. Olin College of Engineering),mathematics
62,Think Complexity: Exploring Complexity Science with Python - 2nd Edition,https://open.umn.edu/opentextbooks/textbooks/think-complexity-exploring-complexity-science-with-python,Allen B. Downey (Franklin W. Olin College of Engineering),python
63,Digital Circuit Projects: An Overview of Digital Circuits Through Implementing Integrated Circuits,https://open.umn.edu/opentextbooks/textbooks/digital-circuit-projects-an-overview-of-digital-circuits-through-implementing-integrated-circuits,Charles W. Kann (Gettysburg College),misc
64,Introduction to the Modeling and Analysis of Complex Systems,https://open.umn.edu/opentextbooks/textbooks/introduction-to-the-modeling-and-analysis-of-complex-systems,"Hiroki Sayama, State University of New york at Binghamton",systems
65,Spatial Thinking in Planning Practice: An Introduction to GIS,https://open.umn.edu/opentextbooks/textbooks/spatial-thinking-in-planning-practice-an-introduction-to-gis,"Yiping Fang, Vivek Shandas, Eugenio Arriaga Cordero (Portland State University)",gis
66,"Java, Java, Java: Object-Oriented Problem Solving",https://open.umn.edu/opentextbooks/textbooks/java-java-java-object-oriented-problem-solving,"Ralph Morelli, Ralph Walde (Trinity College)",java
67,Operating Systems and Middleware: Supporting Controlled Interaction,https://open.umn.edu/opentextbooks/textbooks/operating-systems-and-middleware-supporting-controlled-interaction,Max Hailperin (Gustavus Adolphus College),systems
